"net","mod","num","nnodes","nedges","edensity","aplength","mdegree","diameter","clusteringC","cb","cd"
"CS","CSR",34,599,1431,0.00798990513732475,17.8789556532595,4.7779632721202,45,0.592943201376936,0.264480201463374,0.0137492252974579
"CS","CSR",35,581,1326,0.00786990325835361,18.7391217013584,4.56454388984509,48,0.583683061943931,0.230152489718849,0.0110956139830257
"CS","CSR",36,562,1217,0.00772007282369434,13.2355529064487,4.33096085409253,43,0.565809669992325,0.0569600643734609,0.0118877703135606
"CS","CSR",37,545,1124,0.00758229897463573,9.12606373347818,4.12477064220183,30,0.575616255829447,0.0206383158052789,0.014476524554776
"CS","CSR",38,625,1486,0.00762051282051282,21.7053770919365,4.7552,59,0.600248721846069,0.236211489851021,0.0132128205128205
"CS","CSR",39,633,1514,0.00756894034835123,20.0724561705697,4.78357030015798,47,0.586849315068493,0.217282093822077,0.014582958385826
"CS","CSR",40,604,1406,0.00772077800841268,21.7443907110366,4.65562913907285,58,0.596808510638298,0.263917561623755,0.010521344711322
"CS","CSR",41,627,1496,0.00762289109354857,22.4615127985399,4.7719298245614,64,0.5788876276958,0.26050048359841,0.00994899389047699
"CS","CSR",42,620,1490,0.00776486528740424,23.2079023416894,4.80645161290323,69,0.595721338453099,0.212272553559791,0.0164677679920788
"CS","CSR",43,616,1502,0.00792946890507866,12.2375165892502,4.87662337662338,36,0.604166666666667,0.0718783391194287,0.0115827262168726
"CS","CSR",44,618,1474,0.00773132339905483,17.8952898360541,4.77022653721683,43,0.587403411576031,0.208018446594423,0.0100968775733925
"CS","CSR",45,631,1510,0.00759691092496164,21.9510932197964,4.78605388272583,53,0.603960396039604,0.156258809075052,0.0114507081226574
"CS","CSR",46,620,1442,0.00751472197613216,17.7105551097819,4.65161290322581,48,0.587211047733413,0.177383822255581,0.0102558757621554
"CS","CSR",47,639,1525,0.00748132122585741,18.5958095347987,4.77308294209703,52,0.609970674486804,0.175218026894919,0.00976005808448742
"CS","CSR",48,566,1226,0.0076675318177554,14.6194587550144,4.3321554770318,43,0.579865016872891,0.105836155295604,0.0135714062353419
"CS","CSR",49,584,1314,0.00771869639794168,20.4099870808291,4.5,51,0.588564434341668,0.205480186599566,0.00943396226415094
"CS","CSR",50,587,1293,0.00751783523556465,19.1029398759365,4.40545144804089,56,0.595588235294118,0.207137626759288,0.0095470111808176
"CS","CSR",51,587,1326,0.00770970574041665,15.1779187692911,4.51788756388416,44,0.618366328397937,0.0778024981847973,0.0144745946008803
"CS","CSR",52,584,1289,0.00757184144364294,17.1711903355,4.41438356164384,43,0.593048128342246,0.203747809359108,0.0130113489508682
"CS","CSR",53,585,1291,0.00755766303711509,14.2063711911357,4.41367521367521,38,0.58632267185015,0.100731988549713,0.00956562463411778
"CS","CSR",54,591,1334,0.00765149559780894,15.3338940851894,4.51438240270728,41,0.589951915105289,0.145318140784388,0.00929765694456394
"CS","CSR",55,593,1355,0.0077195661091108,30.7741009845733,4.56998313659359,87,0.581944669147387,0.286741096010093,0.0142398933503487
"CS","CSR",56,561,1265,0.00805322128851541,6.72124940842404,4.50980392156863,20,0.621341048332199,0.00894538950335067,0.0151610644257703
"CS","CSR",57,592,1338,0.00764851145561805,19.9953294254765,4.52027027027027,49,0.587800369685767,0.18227048419364,0.0092719623176476
"CS","CSR",58,607,1441,0.00783488563024342,16.5229756024547,4.74794069192751,50,0.591797736292812,0.138863192858852,0.0119670945677764
"CS","CSR",59,587,1295,0.00752946375101023,19.6824407659851,4.41226575809199,55,0.585365853658537,0.15736495027614,0.0129483519486485
"CS","CSR",60,592,1337,0.0076427950793433,20.2326552380952,4.51689189189189,56,0.585315762450796,0.206951442476576,0.0109697260712489
"CS","CSR",61,585,1318,0.00771572415408032,12.0148830465468,4.50598290598291,31,0.595952423220309,0.0484815907485017,0.00940756351715256
"CS","CSR",62,622,1494,0.00773568199822918,21.159784793739,4.80385852090032,57,0.576841808705451,0.282486118001608,0.00997768354122332
"CS","CSR",63,547,1152,0.0077144062518834,20.3775490952748,4.21206581352834,70,0.608551952076017,0.149450324426965,0.0124321138946367
"CS","CSR",64,570,1267,0.00781302993864274,26.6813407042376,4.44561403508772,78,0.584401516519227,0.280938538014781,0.0150340702371042
"CS","CSR",65,630,1542,0.00778257248845484,21.672978416464,4.8952380952381,49,0.594403730846103,0.251016711802767,0.00970550382315088
"CS","CSR",66,598,1344,0.00752928522209711,10.1437235083143,4.49498327759197,37,0.610810810810811,0.0289796951285569,0.0159213010425595
"CS","CSR",67,590,1336,0.00768898736727001,15.891379557738,4.52881355932203,48,0.578093306288032,0.0965120573405774,0.0126845270639694
"CS","CSR",68,566,1321,0.00826167172206761,16.8599368318756,4.6678445229682,48,0.594198378041173,0.156078012518128,0.0147471778354545
"CS","CSR",69,572,1237,0.00757473699680355,12.9488020325564,4.32517482517482,46,0.593275075987842,0.0661057427015018,0.0134410248245625
"CS","CSR",70,616,1485,0.0078397212543554,18.4706477098861,4.82142857142857,56,0.602851861631899,0.145838559931327,0.0116724738675958
"CS","CSR",71,570,1269,0.00782536305614652,18.5023350296329,4.45263157894737,54,0.591111904336962,0.127513770699661,0.011506798631024
"CS","CSR",72,547,1108,0.00741975879087396,15.2601618664376,4.05118829981718,48,0.559526627218935,0.0932916596714152,0.0108952595241444
"CS","CSR",73,653,1681,0.00789654168115071,18.5488389618953,5.14854517611026,51,0.601172383847156,0.211316396547983,0.0166433356194628
"CS","CSR",74,560,1211,0.00773703041144902,20.7192259611705,4.325,60,0.615267755412077,0.222282327509439,0.0173076923076923
"CS","CSR",75,539,1142,0.00787635094592078,15.8221858434674,4.23747680890538,45,0.584352078239609,0.109072761669311,0.0144284817678339
"CS","CSR",76,573,1272,0.00776187163621719,21.018437027808,4.43979057591623,60,0.578956932582228,0.186714691825503,0.011468897594552
"CS","CSR",77,587,1302,0.00757016355506974,16.9440122875687,4.43611584327087,47,0.594945594945595,0.145246728016668,0.0112011675029507
"CS","CSR",78,567,1234,0.00769034220153184,13.9851142522338,4.35273368606702,45,0.578333333333333,0.0673455356151407,0.0152778556783268
"CS","CSR",79,628,1469,0.00746147360294192,23.4237344145198,4.67834394904459,71,0.580616740088106,0.374625576725724,0.0100823860461809
"CS","CSR",80,572,1289,0.00789315763046061,11.8233966871947,4.50699300699301,36,0.622256253190403,0.051340206692483,0.0113712907057916
"CS","CSR",81,573,1214,0.00740794981632678,23.8223589376396,4.23734729493892,69,0.575269872423945,0.291578121905092,0.0118228194144425
"CS","CSR",82,594,1360,0.00772196387710722,14.8405558495521,4.57912457912458,44,0.60068038231006,0.0976288817703137,0.0108277831717967
"CS","CSR",83,578,1214,0.00728022884146012,15.1277312048515,4.20069204152249,42,0.597133757961783,0.101517733024047,0.0117838959419021
"CS","CSR",84,587,1285,0.00747132117378235,23.5639033425711,4.37819420783646,60,0.571740316421168,0.280896781958669,0.0113000098842381
"CS","CSR",85,599,1359,0.00758789733167319,18.9042571355397,4.53756260434057,49,0.596685082872928,0.167331186193492,0.0108067514977582
"CS","CSR",86,567,1191,0.00742236431282368,10.5048887331347,4.2010582010582,29,0.586457311089303,0.0329256655627517,0.015545833567035
"CS","CSR",87,590,1323,0.00761416937642082,21.3170816112638,4.48474576271186,60,0.603260869565217,0.252040957909215,0.00936375931627867
