"Source","Target","weight"
206,139,1.43423
206,140,2.98611
206,141,0.55159
206,142,1.00988
206,207,5.94874
206,574,3.15155
206,575,7.60662
206,576,3.34343
207,102,0.16391
207,104,0.99723
207,105,1.1514
207,136,2.08561
207,137,2.18481
207,138,4.40462
207,139,2.56817
207,140,4.87918
207,141,2.21718
207,142,2.16778
207,206,4.87154
207,574,2.69485
207,575,8.10809
207,576,3.23034
208,209,6.47464
208,210,7.31624
208,211,1.02512
208,212,3.7281
208,213,3.12324
208,214,5.29319
209,208,7.55235
209,210,7.56873
209,211,1.55715
209,212,4.41395
209,213,3.68763
209,214,6.212
210,208,7.50256
210,209,6.65393
210,211,1.10599
210,212,3.58566
210,213,2.99963
210,214,5.22041
211,208,2.87637
211,209,3.74571
211,210,3.02621
211,212,4.74169
211,213,2.80072
211,214,4.49764
212,208,5.76422
212,209,5.85078
212,210,5.4063
212,211,2.61285
212,213,4.63926
212,214,6.47543
213,208,6.98128
213,209,7.06661
213,210,6.53848
213,211,2.23115
213,212,6.70697
213,214,7.81257
214,208,6.84735
214,209,6.88922
214,210,6.58549
214,211,2.07357
214,212,5.41777
214,213,4.52135
215,216,5.1913
215,217,7.26546
216,215,7.01149
216,217,7.10815
217,215,5.94138
217,216,4.30374
217,314,1.02035
218,44,5.22103
218,45,0.75508
218,46,2.69608
218,122,3.9374
218,123,1.19842
218,124,1.69441
218,454,0.49509
218,455,0.59081
218,456,4.21274
219,220,1.89144
219,221,7.08637
219,222,9.19763
219,223,1.65917
220,219,3.96254
220,221,4.02471
220,222,11.53336
220,223,3.25164
221,219,4.91097
221,220,1.33136
221,222,7.62143
221,223,1.20739
222,202,3.13719
222,203,0.38125
222,219,3.73569
222,220,2.23598
222,221,4.46671
222,223,2.50051
223,202,1.12886
223,219,3.54713
223,220,3.31823
223,221,3.72468
223,222,13.1619
224,333,0.13735
224,334,0.35429
224,335,2.95259
224,336,3.26654
225,226,0.29993
225,227,4.60614
225,228,10.40878
226,225,0.24412
226,227,2.82247
226,228,5.98123
227,225,2.5377
227,226,1.9105
227,228,9.02427
228,225,2.01948
228,226,1.42575
228,227,3.17796
229,230,7.05841
229,277,5.7816
229,280,4.97601
230,52,1.03631
230,53,0.07829
230,229,2.14402
230,275,0.02186
230,277,6.48009
230,278,0.84505
230,279,0.49633
230,280,5.04572
231,232,11.31315
231,233,0.56664
231,511,0.50785
231,512,4.80653
231,513,1.15942
231,514,3.03101
232,231,3.18523
232,233,1.88221
232,511,2.03991
232,512,5.49195
232,513,2.35857
232,514,3.8073
233,231,0.90133
233,232,10.63386
233,511,3.5872
233,512,6.54124
233,513,4.14527
233,514,4.18765
234,92,1.49588
234,193,3.16482
234,194,3.06387
234,235,6.91011
234,236,6.91223
234,237,7.35298
234,238,2.14843
235,92,1.04876
235,193,4.66915
235,194,4.69065
235,234,4.61295
235,236,7.17538
235,237,5.95883
235,238,2.29631
236,92,0.24782
236,193,4.65524
236,194,3.95095
236,234,3.83016
236,235,5.95593
236,237,6.84464
236,238,3.1584
237,30,0.38239
237,32,0.29585
237,33,1.50411
237,92,0.53855
237,193,2.54267
237,194,1.90972
237,234,3.58497
237,235,4.35201
237,236,6.02247
237,238,2.59634
238,193,4.23783
238,194,2.67822
238,234,4.10056
238,235,6.56538
238,236,10.87905
238,237,10.16395
239,240,5.93143
239,241,4.35185
239,577,1.26721
240,239,8.752
240,241,5.51585
241,239,6.44857
241,240,5.5393
242,243,7.79645
242,244,6.28784
242,489,5.23808
242,490,0.99635
242,491,2.66104
242,492,3.49493
242,493,5.74516
243,242,2.54967
243,244,3.82369
243,489,3.6984
243,490,1.25055
243,491,1.91616
243,492,3.31422
243,493,4.63001
244,242,3.24982
244,243,6.04302
244,489,6.64346
244,490,3.76814
244,491,3.95516
244,492,5.36638
244,493,7.26391
245,61,3.36823
245,62,4.56604
245,246,1.88861
245,247,1.46143
245,248,3.76208
245,310,4.71407
246,61,5.92726
246,62,5.48862
246,245,6.46548
246,247,3.28665
246,248,6.78877
246,310,5.9713
247,61,3.84731
247,62,4.33998
247,245,4.31549
247,246,2.83498
247,248,5.37818
247,310,7.92669
248,61,4.85269
248,62,5.47172
248,245,6.26335
248,246,3.30151
248,247,3.03222
248,310,6.49245
249,250,9.05823
249,251,2.90797
249,252,1.2772
250,249,5.13276
250,251,3.52369
250,252,2.20491
251,249,3.58444
251,250,7.66516
251,252,0.82888
252,249,4.19643
252,250,12.78506
252,251,2.20944
253,254,1.84288
253,255,4.39847
254,253,9.66607
254,255,5.47858
255,253,7.39567
255,254,1.75627
256,50,2.93486
256,257,8.33473
256,258,4.9505
257,50,1.88055
257,256,4.85402
257,258,3.59172
258,50,3.91944
258,256,6.14837
258,257,7.65956
259,260,6.10323
260,190,1.78359
260,259,4.5667
262,169,4.46286
262,170,3.73065
262,263,3.38752
262,264,2.36548
263,169,5.73782
263,170,3.41477
263,262,9.66608
263,264,2.35759
264,159,0.14528
264,160,0.63361
264,169,0.14845
264,262,6.39506
264,263,2.2337
265,266,2.30591
265,319,0.29085
266,265,12.53735
267,268,5.35522
267,269,4.75962
268,267,8.46002
268,269,4.79071
268,581,0.4222
269,267,8.72206
269,268,5.55716
270,271,9.49128
270,272,7.12228
271,270,4.20758
271,272,5.91483
272,270,4.42048
272,271,8.28104
273,200,8.1651
273,274,4.93642
273,311,2.27046
274,200,8.47593
274,273,5.87492
274,311,1.57559
275,230,0.07195
275,276,7.43088
275,277,11.77829
275,278,5.16424
275,279,4.0737
275,280,8.45884
276,275,1.85398
276,277,5.37263
276,278,2.4326
276,279,2.13979
276,280,3.96138
277,229,1.01222
277,230,3.73496
277,275,2.06212
277,276,3.7701
277,278,3.1745
277,279,2.98994
277,280,7.0519
278,230,1.68735
278,275,3.13224
278,276,5.91362
278,277,10.99745
278,279,3.36311
278,280,8.59504
279,230,0.98977
279,275,2.46764
279,276,5.19514
279,277,10.34482
279,278,3.35882
279,280,6.56138
280,229,1.1554
280,230,3.857
280,275,1.96411
280,276,3.68668
280,277,9.35252
280,278,3.29044
280,279,2.51511
281,282,5.44403
281,283,6.18458
282,281,4.31249
282,283,6.8566
283,281,2.82573
283,282,3.95477
284,118,3.079
284,119,5.34327
284,120,1.79832
284,121,10.42981
284,285,2.88443
285,118,3.0226
285,119,4.79924
285,120,2.16981
285,121,10.81883
285,284,2.43599
286,148,0.12762
286,287,3.42978
286,370,7.8717
286,371,10.36307
287,286,2.14725
287,370,3.98578
287,371,5.03798
288,289,5.08994
288,290,8.31439
288,291,7.87347
289,288,3.05533
289,290,5.73825
289,291,5.82985
290,288,2.30136
290,289,2.64599
290,291,8.0767
290,353,0.0149
290,354,0.08427
290,355,3.9891
291,288,2.20206
291,289,2.71629
291,290,8.16101
291,304,0.39944
291,354,0.16477
291,355,3.32967
291,528,0.07379
291,529,0.15436
292,293,7.74826
292,294,2.09124
293,292,4.24552
293,294,2.61807
294,292,5.04196
294,293,11.5199
295,330,4.12535
295,332,1.99006
296,297,1.60399
296,298,2.79675
296,299,5.4069
297,296,4.45172
297,298,1.59515
297,299,7.1264
298,296,5.86312
298,297,1.2049
298,299,6.72678
299,296,5.30538
299,297,2.51949
299,298,3.14847
300,70,1.62192
300,301,6.32072
301,70,0.67571
301,300,8.03964
302,303,3.99572
302,304,6.46368
302,305,6.22254
303,302,1.32042
303,304,5.96743
303,305,3.11887
303,354,1.39594
303,528,3.34811
303,529,4.1253
304,291,0.40447
304,302,1.61576
304,303,4.51408
304,305,2.75696
304,354,0.10442
304,528,0.9875
304,529,1.46576
305,302,3.07864
305,303,4.66952
305,304,5.45663
305,529,0.39149
306,115,3.26199
306,116,6.09192
306,117,6.48113
306,307,6.15383
307,115,3.08962
307,116,5.65735
307,117,6.46228
307,306,8.86669
308,309,4.3828
308,551,4.27884
308,553,1.63802
308,554,0.35007
308,557,0.24967
309,308,4.094
309,439,0.75625
309,551,3.35626
309,553,1.52256
309,554,0.04417
309,557,0.09761
310,61,1.92849
310,62,3.05655
310,245,3.42584
310,246,1.2676
310,247,1.95079
310,248,2.83401
311,200,2.54846
311,273,2.69969
311,274,1.57417
311,533,1.91641
312,313,8.86172
313,312,4.63413
314,217,0.64804
315,93,1.187
315,316,5.02755
315,317,2.7043
315,372,12.37751
315,373,10.57633
315,503,3.87726
316,93,1.01647
316,315,3.05063
316,317,3.88297
316,372,9.59713
316,373,11.36242
316,503,4.00561
317,93,1.48274
317,315,2.08034
317,316,4.92277
317,372,7.92151
317,373,9.36144
317,503,1.6334
318,319,2.9582
319,64,1.62222
319,67,0.1057
319,265,0.88209
319,318,1.71439
320,426,1.00749
