"group","x","y","mdegree","betweennesssT","betweennesss","closeness"
"Tho",131.461860207245,166.192428240639,3,0,0,0.0714285714285714
"Tho",62.9713255055438,115.323931526605,3,0,0,0.0714285714285714
"Tho",124.421178051023,39.1965551338299,5,9.18521058626137e-06,1.5,0.142857142857143
"Tho",126.046385243409,38.7486481209137,6,1.68395527414792e-05,2.75,0.166666666666667
"Tho",123.36718899953,39.1203762591979,12,0,0,0.0625
"Tho",66.4021132961517,151.058161122019,12,0,0,0.0625
"Tho",63.9423193501542,152.784075236089,13,2.72154387741078e-06,0.444444444444444,0.0666666666666667
"Tho",100.149132169085,59.8660840170003,13,2.72154387741078e-06,0.444444444444444,0.0666666666666667
"Tho",102.159773733296,59.6969483227375,12,0,0,0.0625
"Tho",139.809060098406,98.3261702156769,12,0,0,0.0625
"Tho",137.288767461227,96.1351570071844,1,0,0,1
"Tho",138.827438963346,95.0013164787315,10,1.99012896035663e-05,3.25,0.00917431192660551
"Tho",136.538020815655,96.7100377908311,11,2.24527369886389e-05,3.66666666666667,0.00925925925925926
"Tho",46.3544731835061,83.3377025003294,12,2.61924298701882e-05,4.27738095238095,0.00934579439252336
"Tho",48.0737213444902,84.3685644226781,12,2.61924298701882e-05,4.27738095238095,0.00934579439252336
"Tho",44.0257191902591,85.5577637875642,22,1.19185488666888e-05,1.94637054122348,0.0294117647058824
"Tho",153.050447371355,47.7249652113174,18,1.56302953253607e-06,0.255252100840336,0.0263157894736842
"Tho",156.575739410527,45.5411617591744,16,0,0,0.025
"Tho",155.357133751733,45.4602057812606,20,8.91194173186423e-06,1.45537355646382,0.0285714285714286
"Tho",155.188158645538,45.61592849081,19,6.19298073825319e-06,1.01135091244118,0.0277777777777778
"Tho",156.17120480058,46.1240635803539,19,3.16270622790105e-06,0.516488903253609,0.027027027027027
"Tho",157.151151491935,46.2131491536897,6,0.000367408423450455,60,0.0133333333333333
"Tho",10.2078137575934,41.5420444580215,8,0.000570503635302234,93.1666666666667,0.0111111111111111
"Tho",10.3411878047713,38.8759214734704,6,0.000367408423450455,60,0.0133333333333333
"Tho",57.6125767211929,140.328727880304,6,0.000367408423450455,60,0.0133333333333333
"Tho",59.2148291057109,139.64863102121,2,0,0,0.0142857142857143
"Tho",59.3644589145604,138.136883481018,4,2.08003710630681e-05,3.3968253968254,0.0178571428571429
"Tho",59.9442961576169,138.814170437914,9,0.000146741820295635,23.963819705199,0.0222222222222222
"Tho",103.587940430457,96.4231604105993,7,0,0,0.142857142857143
"Tho",101.995970764946,94.9889084500463,7,0,0,0.142857142857143
"Tho",100.815789179799,94.9292840802293,7,0,0,0.142857142857143
"Tho",100.033711246914,97.1586133522689,7,0,0,0.142857142857143
"Tho",100.143657887166,96.3185589436795,7,0,0,0.142857142857143
"Tho",101.11660211563,95.5105852104449,4,0,0,0.25
"Tho",25.836951444907,158.212377313533,4,0,0,0.25
"Tho",30.0650511401129,159.919812520646,4,0,0,0.25
"Tho",27.4683033951172,157.632472428997,4,0,0,0.25
"Tho",27.1593172113484,157.630757396171,15,0.000185603565914148,30.3101759351759,0.0227272727272727
"Tho",100.848661984815,117.339324055549,13,8.00201190878814e-05,13.0677655677656,0.0208333333333333
"Tho",101.106173817699,116.218882678626,14,0.000122137013157551,19.9457070707071,0.0222222222222222
"Tho",101.0897875364,112.710296586882,2,0,0,0.25
"Tho",99.6452271687051,199.426251457036,3,1.22469474483485e-05,2,0.333333333333333
"Tho",98.8377702631651,197.813587019008,11,2.29630264656534e-06,0.375,0.0526315789473684
"Tho",97.2889180669812,197.823287383722,15,8.89944847913324e-05,14.5333333333333,0.0666666666666667
"Tho",98.3082161788,197.633196417373,12,5.81730003796554e-06,0.95,0.0555555555555556
"Tho",100.807114464253,198.671365161619,12,5.81730003796554e-06,0.95,0.0555555555555556
"Tho",153.899706169405,161.175280528684,11,2.29630264656534e-06,0.375,0.0526315789473684
"Tho",150.645089209984,161.499630302882,14,4.56198792450982e-05,7.45,0.0625
"Tho",152.6772377581,163.367686226167,11,2.29630264656534e-06,0.375,0.0526315789473684
"Tho",153.253650487189,163.561015637397,11,2.29630264656534e-06,0.375,0.0526315789473684
"Tho",152.627097302848,161.546484433603,2,0,0,0.5
"Tho",32.6989963069834,108.171905982106,2,0,0,0.5
"Tho",29.8109102145469,105.885810662788,4,0,0,0.00344827586206897
"Tho",30.7482607081914,107.518538547954,5,0.000955261900971183,156,0.00398406374501992
"Tho",31.1271641886703,106.5573623688,4,0,0,0.00344827586206897
"Tho",173.84972939888,121.143615442153,4,0,0,0.00344827586206897
"Tho",174.084869922772,120.773400192286,6,0,0,0.00485436893203883
"Tho",173.780445542755,122.460666527034,6,0,0,0.00485436893203883
"Tho",175.725487147164,50.5123078095146,8,0.000587270289546997,95.9047619047619,0.0105263157894737
"Tho",176.882786837457,54.178890872567,8,0.00114269851572829,186.609523809524,0.0120481927710843
"Tho",178.503822589488,50.7966061293577,18,9.02389201776092e-05,14.7365570985246,0.0277777777777778
"Tho",177.142995707235,50.1069834577283,24,2.24780786406234e-05,3.67080511048564,0.032258064516129
"Tho",175.781139436204,50.5116105803533,19,2.60774030793287e-05,4.25859638727286,0.0285714285714286
"Tho",179.348622906298,54.1982322888024,24,6.22830048852015e-05,10.1711883957827,0.0333333333333333
"Tho",175.452629773204,49.4079871532317,10,0,0,0.1
"Tho",177.050121834534,48.7887007955073,10,0,0,0.1
"Tho",2.18476846479797,55.9562874539873,10,0,0,0.1
"Tho",0.028244850736225,53.6868203227494,10,0,0,0.1
"Tho",3.20533280025087,52.4476540580279,10,0,0,0.1
"Tho",60.5355323524758,8.9364247962705,10,0,0,0.1
"Tho",61.5689743301673,11.6199922048237,10,0,0,0.1
"Tho",61.1311986375361,8.28648672593539,10,0,0,0.1
"Tho",61.2580117876938,7.71341996812765,10,0,0,0.1
"Tho",60.0572826674502,8.0631358745158,2,0,0,0.5
"Tho",45.6476092247343,50.2086137372382,2,0,0,0.5
"Tho",46.5235539879204,49.2394784982674,11,6.97369449895383e-05,11.3884615384615,0.0212765957446809
"Tho",44.9472597282921,53.5263355117911,11,6.97369449895383e-05,11.3884615384615,0.0212765957446809
"Tho",59.2998437395181,118.740288045195,13,0.000364650005508272,59.5495337995338,0.0232558139534884
"Tho",60.3353536857219,121.522292928887,12,0.000204436238323542,33.3856643356643,0.0227272727272727
