"mod","weight"
"CSR",1.96314
"CSR",3.96536
"CSR",1.14102
"CSR",3.11575
"CSR",2.80436
"CSR",3.3279
"CSR",0.5411
"CSR",0.53124
"CSR",1.29532
"CSR",1.74241
"CSR",2.54097
"CSR",1.96429
"CSR",3.3589
"CSR",0.24259
"CSR",2.48859
"CSR",0.20323
"CSR",0.01988
"CSR",2.64131
"CSR",5.71417
"CSR",2.3066
"CSR",0.70656
"CSR",1.88252
"CSR",0.30802
"CSR",0.34666
"CSR",6.81841
"CSR",0.66679
"CSR",0.02947
"CSR",3.18422
"CSR",3.42796
"CSR",5.62684
"CSR",1.8295
"CSR",0.15154
"CSR",4.24417
"CSR",5.89541
"CSR",3.38447
"CSR",2.53249
"CSR",6.42729
"CSR",0.24975
"CSR",5.19718
"CSR",2.84084
"CSR",3.23463
"CSR",0.25473
"CSR",2.42708
"CSR",1.3086
"CSR",2.52715
"CSR",6.2831
"CSR",4.39115
"CSR",2.69133
"CSR",1.97037
"CSR",0.43904
"CSR",1.22903
"CSR",0.72698
"CSR",0.42585
"CSR",1.94088
"CSR",0.72357
"CSR",0.26824
"CSR",0.54608
"CSR",0.45366
"CSR",4.79149
"CSR",0.22629
"CSR",6.89676
"CSR",1.57704
"CSR",0.91145
"CSR",0.22374
"CSR",0.43275
"CSR",0.92519
"CSR",1.78512
"CSR",0.06061
"CSR",0.94046
"CSR",10.87882
"CSR",2.97706
"CSR",0.58299
"CSR",1.04542
"CSR",2.66882
"CSR",1.68793
"CSR",1.61201
"CSR",1.98749
"CSR",6.6118
"CSR",1.63885
"CSR",0.70811
"CSR",5.38309
"CSR",1.95895
"CSR",5.41545
"CSR",0.96606
"CSR",1.20582
"CSR",4.13218
"CSR",3.32787
"CSR",3.68413
"CSR",0.18514
"CSR",0.70775
"CSR",2.68039
"CSR",2.2068
"CSR",5.46746
"CSR",1.14435
"CSR",1.44106
"CSR",3.80989
"CSR",2.08777
"CSR",1.40472
"CSR",1.36559
"CSR",3.78253
"CSR",2.66511
"CSR",0.12703
"CSR",0.92946
"CSR",4.69294
"CSR",4.88482
"CSR",0.33138
"CSR",0.47726
"CSR",4.53935
"CSR",1.28872
"CSR",1.40973
"CSR",5.41934
"CSR",0.32977
"CSR",0.42194
"CSR",4.13026
"CSR",3.51597
"CSR",5.83088
"CSR",6.00663
"CSR",0.34047
"CSR",5.3876
"CSR",3.84205
"CSR",3.77043
"CSR",0.83643
"CSR",11.35008
"CSR",6.06694
"CSR",1.00532
"CSR",8.91785
"CSR",3.82743
"CSR",1.12638
"CSR",2.09422
"CSR",2.71744
"CSR",1.79724
"CSR",3.74464
"CSR",0.2317
"CSR",0.98247
"CSR",4.46864
"CSR",4.54296
"CSR",1.48967
"CSR",3.54295
"CSR",0.59978
"CSR",1.04407
"CSR",3.54541
"CSR",1.73285
"CSR",2.33858
"CSR",6.96703
"CSR",3.06289
"CSR",4.21132
"CSR",10.70484
"CSR",1.83819
"CSR",0.35294
"CSR",3.53194
"CSR",0.06982
"CSR",1.06835
"CSR",1.98632
"CSR",0.92544
"CSR",2.4088
"CSR",4.3696
"CSR",0.21766
"CSR",5.94145
"CSR",0.83418
"CSR",1.31527
"CSR",1.95743
"CSR",2.98415
"CSR",1.30677
"CSR",0.70397
"CSR",1.20298
"CSR",1.277
"CSR",2.16916
"CSR",7.39201
"CSR",0.28151
"CSR",3.30371
"CSR",0.54257
"CSR",4.01297
"CSR",0.27014
"CSR",0.86327
"CSR",5.49421
"CSR",0.06433
"CSR",1.79878
"CSR",0.34902
"CSR",3.52136
"CSR",4.18106
"CSR",3.21438
"CSR",0.59853
"CSR",2.63181
"CSR",2.65938
"CSR",0.84302
"CSR",0.68609
"CSR",5.69984
"CSR",1.06966
"CSR",0.42176
"CSR",0.16485
"CSR",1.0609
"CSR",4.01533
"CSR",0.52763
"CSR",0.60656
"CSR",6.26042
"CSR",0.61022
"CSR",0.6495
"CSR",7.06341
"CSR",0.16882
"CSR",2.22379
"CSR",2.4683
"CSR",9.94393
"CSR",0.6061
"CSR",4.50554
"CSR",0.80341
"CSR",0.47634
"CSR",5.25907
"CSR",0.031
"CSR",0.52711
"CSR",0.9562
"CSR",0.25455
"CSR",4.94886
"CSR",0.62358
"CSR",4.43167
"CSR",1.14679
"CSR",1.9174
"CSR",2.21577
"CSR",0.0279
"CSR",1.31495
"CSR",0.74761
"CSR",0.27562
"CSR",1.9072
"CSR",2
"CSR",2.71188
"CSR",1.25179
"CSR",3.60012
"CSR",1.07161
"CSR",0.63462
"CSR",1.81913
"CSR",0.542
"CSR",1.24185
"CSR",0.06021
"CSR",1.43853
"CSR",1.26866
"CSR",2.30257
"CSR",2.02027
"CSR",0.7706
"CSR",0.11159
"CSR",3.06185
"CSR",3.66553
"CSR",0.85332
"CSR",0.03606
"CSR",0.23374
"CSR",9.44141
"CSR",0.53316
"CSR",1.70599
"CSR",0.80115
"CSR",2.67363
"CSR",0.71178
"CSR",4.07278
"CSR",0.49794
"CSR",0.58983
"CSR",1.83724
"CSR",0.39789
"CSR",5.37105
"CSR",0.80645
"CSR",1.35249
"CSR",4.25001
"CSR",2.54549
"CSR",1.21357
"CSR",3.12502
"CSR",1.39374
"CSR",4.71824
"CSR",2.10247
"CSR",3.71341
"CSR",2.75692
"CSR",6.48094
"CSR",6.24946
"CSR",2.70008
"CSR",1.48873
"CSR",0.32562
"CSR",0.11575
"CSR",0.37012
"CSR",1.85123
"CSR",2.05086
"CSR",3.34547
"CSR",1.23219
"CSR",0.98846
"CSR",2.64742
"CSR",3.67459
"CSR",2.58343
"CSR",8.81837
"CSR",0.59361
"CSR",5.06735
"CSR",0.89244
"CSR",1.54109
"CSR",3.67644
"CSR",0.89744
"CSR",0.57921
"CSR",8.37978
"CSR",8.70316
"CSR",1.25023
"CSR",0.70553
"CSR",5.52496
"CSR",5.66305
"CSR",0.8206
"CSR",1.08888
"CSR",0.82084
"CSR",0.77013
"CSR",2.04453
"CSR",8.40182
"CSR",0.49445
"CSR",3.11961
"CSR",4.40995
"CSR",0.20553
"CSR",0.08131
"CSR",5.31155
"CSR",1.93633
"CSR",0.41952
"CSR",5.76891
"CSR",0.32789
"CSR",0.99204
"CSR",6.75687
"CSR",4.62032
"CSR",9.74364
"CSR",3.07334
"CSR",0.82534
"CSR",0.53085
"CSR",1.61184
"CSR",1.25587
"CSR",10.55671
"CSR",1.60992
"CSR",2.82263
"CSR",3.99697
"CSR",0.99894
"CSR",2.27147
"CSR",2.19059
"CSR",2.49676
"CSR",6.54398
"CSR",3.42061
"CSR",3.54267
"CSR",0.11628
"CSR",0.42178
"CSR",0.65715
"CSR",0.66921
"CSR",1.06415
"CSR",5.26473
"CSR",2.10262
"CSR",7.49552
"CSR",3.33827
"CSR",0.00915
"CSR",2.6573
"CSR",0.01725
"CSR",8.93851
"CSR",0.62771
"CSR",1.71274
"CSR",6.33741
"CSR",7.2138
"CSR",1.45346
"CSR",9.60254
"CSR",2.06031
"CSR",3.96522
"CSR",4.47081
"CSR",6.21018
"CSR",0.00368
"CSR",1.79957
"CSR",0.38531
"CSR",1.05223
"CSR",0.74285
"CSR",9.41048
"CSR",4.09196
"CSR",2.56612
"CSR",2.00946
"CSR",2.78489
"CSR",4.52377
"CSR",0.39377
"CSR",7.79076
"CSR",1.86229
"CSR",6.20966
"CSR",1.90348
"CSR",1.71569
"CSR",0.03305
"CSR",4.4167
"CSR",1.76857
"CSR",0.82016
"CSR",0.66193
"CSR",5.56809
"CSR",0.45419
"CSR",3.32345
"CSR",2.44831
"CSR",1.10757
"CSR",1.69308
"CSR",2.74491
"CSR",0.93368
"CSR",0.62739
"CSR",1.11919
"CSR",4.6859
"CSR",6.36756
"CSR",0.89438
"CSR",2.56474
"CSR",0.60839
"CSR",9.57734
"CSR",0.73055
"CSR",4.84041
"CSR",0.43152
"CSR",3.91304
"CSR",3.62769
"CSR",0.26034
"CSR",0.79031
"CSR",2.16808
"CSR",0.69701
"CSR",4.4333
"CSR",3.37241
"CSR",0.45225
"CSR",0.14509
"CSR",1.24224
"CSR",8.93141
"CSR",0.34924
"CSR",0.96984
"CSR",6.66301
"CSR",2.58058
"CSR",1.04273
"CSR",3.83506
"CSR",0.39597
"CSR",1.51789
"CSR",4.24603
"CSR",0.31388
"CSR",1.16736
"CSR",0.00761
"CSR",5.59923
"CSR",1.17154
"CSR",0.30953
"CSR",0.37259
"CSR",1.10144
"CSR",0.86093
"CSR",2.06713
"CSR",7.29423
"CSR",5.29366
"CSR",2.79085
"CSR",4.48925
"CSR",2.33293
"CSR",2.02083
"CSR",3.42484
"CSR",5.39074
"CSR",1.83133
"CSR",1.45728
"CSR",3.55053
"CSR",1.24776
"CSR",0.69381
"CSR",0.22676
"CSR",0.62295
"CSR",0.04366
"CSR",1.30417
"CSR",6.11079
"CSR",0.71854
"CSR",3.45135
"CSR",0.27698
"CSR",3.06897
"CSR",1.07492
"CSR",4.34155
"CSR",0.51998
"CSR",2.47487
"CSR",0.32769
"CSR",2.4022
"CSR",2.30768
"CSR",1.51994
"CSR",2.73758
"CSR",0.35582
"CSR",3.8977
"CSR",0.34237
"CSR",1.80938
"CSR",5.83892
"CSR",0.23678
"CSR",2.00423
"CSR",0.56923
"CSR",0.25364
"CSR",2.67694
"CSR",1.17804
"CSR",2.75343
"CSR",2.04757
"CSR",0.22028
"CSR",0.74875
"CSR",10.22323
"CSR",6.67597
"CSR",0.55892
"CSR",2.49713
"CSR",2.77103
"CSR",0.01225
"CSR",5.34131
"CSR",2.48644
"CSR",0.00438
"CSR",0.05949
"CSR",6.11359
"CSR",2.15431
"CSR",1.94479
"CSR",0.91184
"CSR",2.36366
"CSR",2.66822
"CSR",3.33354
"CSR",2.50706
"CSR",2.63831
"CSR",0.54103
"CSR",2.44498
"CSR",0.56777
"CSR",0.20228
"CSR",0.39097
"CSR",1.7191
"CSR",3.44942
"CSR",1.56059
"CSR",6.35698
"CSR",0.20566
"CSR",1.34758
"CSR",7.75552
"CSR",0.19539
"CSR",0.00997
"CSR",0.66972
"CSR",1.08639
"CSR",4.09587
"CSR",1.60474
"CSR",0.85022
"CSR",0.94277
"CSR",4.17964
"CSR",1.46741
"CSR",4.15057
"CSR",0.97392
"CSR",0.8807
"CSR",0.09026
"CSR",0.27924
"CSR",9.7265
"CSR",0.24418
"CSR",1.22372
"CSR",3.29096
"CSR",0.38242
"CSR",0.38871
"CSR",2.85283
"CSR",2.3152
"CSR",2.33403
"CSR",0.32977
"CSR",3.79593
"CSR",2.07712
"CSR",0.57749
"CSR",2.70151
"CSR",0.56008
"CSR",0.96248
"CSR",3.67995
"CSR",0.27704
"CSR",0.44236
"CSR",8.23952
"CSR",4.72882
"CSR",1.93155
"CSR",4.72467
"CSR",0.79789
"CSR",4.05764
"CSR",3.60548
"CSR",0.57486
"CSR",1.36628
"CSR",1.7941
"CSR",0.26088
"CSR",2.18291
"CSR",3.78705
"CSR",4.128
"CSR",1.6286
"CSR",3.20575
"CSR",4.01624
"CSR",1.33405
"CSR",0.26526
"CSR",0.81938
"CSR",1.94229
"CSR",0.00374
"CSR",1.5076
"CSR",3.32695
"CSR",1.21668
"CSR",1.633
"CSR",3.32872
"CSR",1.29145
"CSR",0.38002
"CSR",1.02815
"CSR",0.8992
"CSR",1.98546
"CSR",5.95227
"CSR",5.90995
"CSR",0.00914
"CSR",0.02064
"CSR",0.43285
"CSR",0.49916
"CSR",0.13396
"CSR",1.36631
"CSR",0.2338
"CSR",5.69555
"CSR",3.38959
"CSR",4.57443
"CSR",2.28883
"CSR",0.93484
"CSR",6.52789
"CSR",3.28032
"CSR",1.31763
"CSR",1.4571
"CSR",8.97219
"CSR",0.12217
"CSR",2.75796
"CSR",5.86432
"CSR",1.45908
"CSR",2.25711
"CSR",0.08456
"CSR",4.9953
"CSR",0.85859
"CSR",0.95277
"CSR",0.86674
"CSR",0.0785
"CSR",0.24787
"CSR",1.12978
"CSR",3.29154
"CSR",5.87035
"CSR",3.10573
"CSR",3.45008
"CSR",3.25759
"CSR",3.2167
"CSR",1.04356
"CSR",0.26909
"CSR",1.5928
"CSR",0.26607
"CSR",3.62266
"CSR",1.32875
"CSR",4.39435
"CSR",1.20719
"CSR",1.96037
"CSR",7.70669
"CSR",1.81375
"CSR",1.68002
"CSR",1.87309
"CSR",5.54821
"CSR",0.54467
"CSR",5.69957
"CSR",0.01667
"CSR",1.48031
"CSR",4.81533
"CSR",1.39017
"CSR",2.81547
"CSR",0.6358
"CSR",0.99085
"CSR",2.05626
"CSR",7.08543
"CSR",1.9699
"CSR",0.63604
"CSR",3.0405
"CSR",1.12877
"CSR",0.4503
"CSR",4.59871
"CSR",0.60722
"CSR",0.32858
"CSR",3.31088
"CSR",2.36949
"CSR",5.59734
"CSR",3.18451
"CSR",2.24821
"CSR",1.64147
"CSR",0.04718
"CSR",0.29207
"CSR",1.62857
"CSR",2.48882
"CSR",5.42191
"CSR",1.56592
"CSR",3.19773
"CSR",9.1392
"CSR",7.88465
"CSR",1.50404
"CSR",1.86327
"CSR",0.12635
"CSR",2.83463
"CSR",2.01526
"CSR",2.14113
"CSR",0.90756
"CSR",2.40032
"CSR",1.4337
"CSR",0.11586
"CSR",1.58205
"CSR",5.55604
"CSR",1.0303
"CSR",1.89429
"CSR",0.60838
"CSR",0.62424
"CSR",9.27413
"CSR",0.7409
"CSR",7.29994
"CSR",3.07647
"CSR",0.24414
"CSR",0.10792
"CSR",1.88014
"CSR",3.80124
"CSR",3.18327
"CSR",0.6317
"CSR",1.67751
"CSR",0.11244
"CSR",0.39053
"CSR",1.49081
"CSR",0.62997
"CSR",0.41027
"CSR",1.96413
"CSR",3.22432
"CSR",2.06157
"CSR",1.33525
"CSR",1.87135
"CSR",3.2703
"CSR",1.27365
"CSR",5.53445
"CSR",0.05598
"CSR",0.41977
"CSR",2.03728
"CSR",0.20848
"CSR",1.87641
"CSR",2.7724
"CSR",1.212
"CSR",0.79338
"CSR",3.858
"CSR",4.40601
"CSR",0.44937
"CSR",4.82788
"CSR",7.18657
"CSR",1.47092
"CSR",1.46333
"CSR",0.77512
"CSR",2.11747
"CSR",3.72852
"CSR",0.17875
"CSR",0.76006
"CSR",0.07799
"CSR",1.49917
"CSR",2.48308
"CSR",2.45007
"CSR",2.25062
"CSR",6.20771
"CSR",1.63795
"CSR",1.85704
"CSR",9.1401
"CSR",3.35435
"CSR",3.93871
"CSR",3.62324
"CSR",2.65107
"Mat",0.84602
"Mat",2.15799
"Mat",1.66004
"Mat",0.90565
"Mat",3.35137
"Mat",4.49133
"Mat",0.50624
"Mat",4.05239
"Mat",8.1821
"Mat",0.95824
"Mat",0.33344
"Mat",4.13791
"Mat",10.70739
"Mat",3.15572
"Mat",0.4353
"Mat",0.79153
"Mat",4.02074
"Mat",1.43318
"Mat",1.47273
"Mat",2.09062
"Mat",3.24111
"Mat",10.59912
"Mat",4.27468
"Mat",1.64378
"Mat",5.9295
"Mat",3.53786
"Mat",4.45552
"Mat",0.01424
"Mat",8.76924
"Mat",4.27066
"Mat",1.40444
"Mat",3.63419
"Mat",0.03021
"Mat",2.39443
"Mat",3.47974
"Mat",4.93737
"Mat",2.6753
"Mat",0.9754
"Mat",3.22802
"Mat",3.73849
"Mat",0.98818
"Mat",4.15949
"Mat",1.89122
"Mat",3.1548
"Mat",3.31303
"Mat",1.61398
"Mat",0.53049
"Mat",1.38103
"Mat",9.31395
"Mat",0.71851
"Mat",1.02868
"Mat",6.41345
"Mat",1.79485
"Mat",1.47252
"Mat",2.79899
"Mat",2.58751
"Mat",5.25828
"Mat",2.32601
"Mat",0.84545
"Mat",2.68369
"Mat",5.92294
"Mat",0.48073
"Mat",3.25761
"Mat",2.40314
"Mat",5.25728
"Mat",4.68073
"Mat",0.85883
"Mat",0.70363
"Mat",2.78064
"Mat",3.34981
"Mat",2.39293
"Mat",0.84858
"Mat",3.90205
"Mat",7.48518
"Mat",3.94363
"Mat",3.31312
"Mat",2.76818
"Mat",1.04419
"Mat",6.36183
"Mat",1.12337
"Mat",5.76917
"Mat",1.24962
"Mat",1.46159
"Mat",0.95417
"Mat",1.30389
"Mat",6.86222
"Mat",2.43727
"Mat",0.0599
"Mat",0.64818
"Mat",0.51515
"Mat",1.10922
"Mat",7.39109
"Mat",4.99585
"Mat",1.46035
"Mat",1.25189
"Mat",0.33872
"Mat",0.80107
"Mat",3.90608
"Mat",4.01313
"Mat",2.34684
"Mat",0.3311
"Mat",2.48606
"Mat",2.13636
"Mat",4.36442
"Mat",2.73324
"Mat",4.15449
"Mat",1.27029
"Mat",2.0298
"Mat",1.16738
"Mat",0.7885
"Mat",4.08643
"Mat",0.22788
"Mat",1.43878
"Mat",7.32219
"Mat",4.81159
"Mat",4.4694
"Mat",5.68199
"Mat",3.82048
"Mat",0.48676
"Mat",2.72484
"Mat",2.92547
"Mat",3.57565
"Mat",1.04691
"Mat",0.4006
"Mat",5.00214
"Mat",0.78149
"Mat",1.85685
"Mat",0.50676
"Mat",2.84299
"Mat",1.46399
"Mat",2.15317
"Mat",0.34389
"Mat",2.40709
"Mat",1.46361
"Mat",4.70019
"Mat",1.39686
"Mat",7.12169
"Mat",4.48661
"Mat",5.24582
"Mat",2.05476
"Mat",1.30267
"Mat",1.52623
"Mat",4.3981
"Mat",0.72424
"Mat",8.52204
"Mat",0.9984
"Mat",8.63336
"Mat",4.41132
