"Source","Target","weight"
44,105,2.68999
44,129,0.71635
44,146,0.49334
44,166,0.72598
44,193,0.64752
44,212,0.17182
44,268,0.18325
45,39,4.13821
45,91,2.63824
45,111,2.87389
45,126,0.86487
46,7,15.98953
46,20,8.04806
46,172,1.27622
46,183,0.11738
46,207,0.94432
47,19,5.65774
47,33,2.98446
47,55,2.64281
47,60,2.26165
47,125,1.53506
48,8,17.46592
48,15,4.5439
48,69,4.103
48,85,0.84131
48,130,0.18338
48,151,1.51693
48,163,1.46581
48,175,1.27245
48,206,0.77872
48,253,0.09323
49,4,22.40797
49,16,4.81267
49,53,4.15715
49,68,0.1205
49,80,0.62041
49,128,2.50474
49,133,2.03379
49,143,0.37359
49,173,0.07833
49,180,0.3864
49,263,0.04148
50,22,0.49334
50,27,1.7002
50,29,5.38075
50,77,1.03633
50,82,1.76375
50,95,0.7937
50,101,0.11212
50,116,3.0505
50,145,0.93964
50,213,0.38342
50,269,0.20537
51,12,1.05155
51,18,9.75766
51,23,7.91051
51,29,8.61695
51,157,0.08172
52,10,3.71088
52,26,4.50344
52,43,0.31303
52,60,1.87556
53,4,7.89873
53,16,3.60416
53,49,4.4647
53,68,1.66564
53,80,4.72555
53,98,1.29778
53,128,0.47389
53,133,0.51094
53,143,1.42485
53,173,0.4768
53,257,0.1276
53,263,0.15497
54,4,22.54831
54,6,3.75756
54,16,11.62404
54,37,3.79933
54,74,2.5455
54,233,0.16888
54,270,0.20933
55,24,3.83192
55,26,3.47908
55,47,3.21373
55,231,0.35281
56,12,6.16057
56,17,3.93617
56,19,3.11757
56,33,2.30391
56,34,4.11953
56,81,1.6197
56,96,4.83419
57,32,7.20737
57,72,1.10715
57,93,1.45401
57,112,2.36978
58,25,5.07577
58,35,0.35375
58,67,2.62315
58,73,1.67445
58,153,1.23926
58,191,0.59633
59,1,12.54944
59,8,15.57173
59,21,8.23209
59,44,2.48734
59,105,1.30452
60,19,5.65156
60,47,3.30553
60,52,2.52229
60,106,0.6364
61,2,16.26198
61,17,11.0258
61,22,1.65529
61,34,8.8318
61,131,0.35209
62,1,11.70944
62,9,21.13798
62,41,10.69114
62,152,0.81733
63,25,15.25316
63,75,0.14482
63,97,2.25565
63,179,1.02325
63,239,0.11594
63,243,0.01159
64,77,0.83263
64,82,1.01688
64,95,2.74105
64,120,0.02145
64,129,1.1267
64,137,0.00153
64,145,0.43271
64,167,1.82742
64,192,1.41852
64,241,0.36634
64,247,0.28118
64,261,0.02591
65,7,9.52173
65,11,17.23414
65,149,1.06096
66,16,7.69422
66,140,0.63516
66,218,0.74904
66,219,0.37519
66,271,0.06622
67,25,1.64063
67,35,4.7353
67,58,3.22103
67,109,1.9075
67,153,1.22754
67,171,0.55565
67,191,1.50185
68,49,0.20721
68,53,2.66696
68,143,1.32176
68,263,0.18885
69,8,17.6791
69,15,5.93245
69,36,1.78554
69,48,7.13821
69,113,0.51712
69,130,1.11593
69,175,0.28414
69,206,0.67267
70,1,32.72645
70,2,41.81448
70,267,0.13171
71,1,33.16732
71,6,18.50532
71,9,20.65721
71,38,3.39115
71,42,2.61538
71,135,2.44294
72,25,1.63878
72,32,8.08259
72,57,1.47308
72,93,3.2928
72,107,0.17774
72,112,0.13302
73,58,2.20893
73,83,4.20205
73,238,0.57641
74,4,5.61098
74,6,0.16163
74,8,11.65822
74,16,4.44941
74,37,4.80413
74,54,4.23495
74,184,0.70759
74,188,1.39263
74,244,0.15355
74,270,0.38368
75,18,7.60172
75,63,0.17267
75,97,0.87163
75,156,0.56965
75,179,0.27778
75,198,1.17942
76,13,8.05259
76,14,10.77317
76,86,1.47874
76,88,1.31677
76,139,1.24086
76,141,0.76254
76,255,0.21372
77,27,6.17414
77,44,2.67774
77,50,1.99091
77,64,0.99129
77,95,2.70053
77,146,1.2269
78,85,0.33049
78,108,1.37943
78,177,0.1995
78,217,0.76872
79,35,0.87127
79,40,3.98224
79,144,0.97576
79,228,0.77489
79,252,0.3737
79,262,0.06025
80,4,0.56223
80,16,2.1304
80,49,1.34258
80,53,9.5218
