"net","mod","num","nnodes","nedges","mdegree","clusteringC","edensity","aplength","diameter","cb","cd"
"CS","Str",4,191,505,5.28795811518325,0.559400230680507,0.0278313585009645,9.59378053687417,25,0.182275333088604,0.0300633783411408
"CS","Str",5,195,499,5.11794871794872,0.564691656590085,0.0263811789584985,9.33518371662702,23,0.267736760375441,0.0354744911445942
"CS","Str",6,189,452,4.78306878306878,0.544019138755981,0.0254418552290893,8.86928680531078,21,0.188522268030658,0.0277496341326129
"CS","Str",7,173,404,4.67052023121387,0.526073619631902,0.0271541873907783,8.64666476624858,21,0.236364528985543,0.0367993009813147
"CS","Str",8,175,403,4.60571428571429,0.541811846689895,0.0264696223316913,9.07716432061848,24,0.291399432578871,0.0252545155993432
"CS","Str",9,173,382,4.41618497109827,0.516227801592162,0.0256754940180132,9.46304287305123,22,0.199473068978876,0.0382779943540799
"CS","Str",10,168,370,4.40476190476191,0.524084778420039,0.0263758197889934,8.11101581856299,21,0.179545386865189,0.0275163957798688
"CS","Str",11,194,480,4.94845360824742,0.572715572715573,0.025639656001282,10.127774445111,23,0.319572334300029,0.0313551626515678
"CS","Str",12,178,397,4.46067415730337,0.538953488372093,0.0252015489113185,11.6810708263069,30,0.395196216691477,0.0256459087158002
"CS","Str",13,171,349,4.08187134502924,0.51739452257587,0.0240110079119367,7.86889747762408,18,0.181686875685996,0.0289301685586515
"CS","Str",14,171,375,4.3859649122807,0.567933032839665,0.0257997936016512,9.86354895104895,23,0.220696516690381,0.03890608875129
"CS","Str",15,167,355,4.25149700598802,0.569541029207232,0.0256114277469158,6.75781365723596,17,0.0987765627328854,0.0286054397229637
"CS","Str",16,177,416,4.70056497175141,0.551185344827586,0.0267077555213148,9.94793271700051,26,0.221101684393613,0.0244286081150488
"CS","Str",17,167,356,4.26347305389222,0.525987525987526,0.0256835726138085,8.07692307692308,21,0.232739707188829,0.028533294856071
"CS","Str",18,172,419,4.87209302325581,0.54952712792434,0.0284917720658235,9.33428367783321,23,0.296935782763969,0.0299877600979192
"CS","Str",19,181,407,4.49723756906077,0.501193317422434,0.0249846531614487,8.66522307004881,21,0.12216096849384,0.0194597912829957
"CS","Str",20,170,364,4.28235294117647,0.524229074889868,0.0253393665158371,9.62520013922729,21,0.186189506418593,0.0219979115906718
"CS","HC",1,122,173,2.83606557377049,0.439588688946015,0.0234385584609132,12.8313953488372,31,0.222067026387087,0.026148218398591
"CS","HC",2,133,203,3.05263157894737,0.453686200378072,0.0231259968102073,5.66030368763558,17,0.0456148990518536,0.0299043062200957
"CS","HC",3,122,185,3.0327868852459,0.462012320328542,0.0250643544235198,6.70410447761194,20,0.187583953737222,0.0327868852459016
"CS","HC",4,113,161,2.84955752212389,0.377777777777778,0.0254424778761062,6.80669944683467,18,0.14922097696731,0.0370575221238938
"CS","HC",5,130,192,2.95384615384615,0.416498993963783,0.0228980322003578,8.17576564580559,21,0.142381466118537,0.0313655336911151
"CS","HC",6,113,165,2.92035398230089,0.41044776119403,0.0260745891276865,9.52611534276387,25,0.241280342842843,0.0274968394437421
"CS","HC",7,115,183,3.18260869565217,0.447316103379722,0.0279176201372998,7.71219242466132,19,0.121851517852544,0.0334858886346301
"CS","HC",8,116,174,3,0.411764705882353,0.0260869565217391,8.69218285096024,21,0.233107153517063,0.0260869565217391
"CS","HC",9,121,194,3.20661157024793,0.471590909090909,0.0267217630853995,7.70597781985394,20,0.121993270951356,0.0232782369146006
"CS","HC",10,126,197,3.12698412698413,0.474516695957821,0.025015873015873,4.88710570005534,16,0.0503452432516773,0.030984126984127
"CS","HC",11,113,158,2.79646017699115,0.46031746031746,0.024968394437421,5.96485061511424,17,0.0550893117060209,0.037531605562579
"CS","HC",12,135,237,3.51111111111111,0.469496021220159,0.0262023217247098,8.8768788393674,24,0.276738296760186,0.0334991708126036
"CS","HC",13,130,209,3.21538461538462,0.470187393526405,0.0249254621347645,5.79032258064516,15,0.0492477388392411,0.0293381037567084
"CS","HC",14,120,174,2.9,0.425720620842572,0.0243697478991597,9.01270325203252,23,0.234865631197644,0.034453781512605
"CS","HC",15,116,172,2.96551724137931,0.465277777777778,0.0257871064467766,10.9089008363202,29,0.232070573408948,0.0350824587706147
"CS","HC",16,122,177,2.90163934426229,0.451025056947608,0.0239804904484487,14.3799525287566,41,0.278220977619926,0.0338707492209728
"CS","HC",17,126,189,3,0.43558282208589,0.024,5.81487743026205,18,0.0769873548387097,0.032
"CS","HC",18,132,211,3.1969696969697,0.444444444444444,0.0244043488318297,9.32040877667568,29,0.141090935170534,0.029030765671987
"CS","HC",19,122,190,3.11475409836066,0.427698574338086,0.0257417694079393,8.68256029684601,21,0.250133187623796,0.0238450074515648
"CS","HC",20,130,223,3.43076923076923,0.431059506531205,0.0265951103160405,8.61120286264795,22,0.3883672224273,0.0354203935599284
"CL","Tho",1,287,1059,7.37979094076655,0.596195703605565,0.0258034648278551,4.12935625210651,13,0.0845321919077517,0.0860846470602568
"CL","Tho",2,326,1332,8.1717791411043,0.606310579500928,0.0251439358187824,4.01058460675732,10,0.0672660010187774,0.0917791411042945
"CL","Tho",3,231,634,5.48917748917749,0.662230671736375,0.0238659890833804,3.25662778366914,9,0.03917286467835,0.06309053265575
"CL","Tho",4,313,1379,8.81150159744409,0.629983956265969,0.0282419922995003,5.62754308109043,16,0.239014243614938,0.125604161546654
"CL","Tho",5,219,656,5.99086757990868,0.667848946380138,0.0274810439445352,2.85229432527831,6,0.0350522921530908,0.0780235432114281
"CL","Tho",6,287,1004,6.99651567944251,0.580951408738261,0.0244633415365123,3.71314481297368,11,0.085046581439662,0.136375819302649
"CL","Tho",7,197,645,6.54822335025381,0.666612641815235,0.0334093028074174,3.18800497203232,12,0.0352263746943047,0.0890396767844193
"CL","Tho",8,256,951,7.4296875,0.624973181720661,0.0291360294117647,3.16729601050731,9,0.0853085786422026,0.119883578431373
"CL","Tho",9,251,908,7.23505976095618,0.646412796944013,0.0289402390438247,4.17248295226635,12,0.0948223901397064,0.0830597609561753
"CL","Tho",10,236,698,5.91525423728814,0.607358691788127,0.025171294626758,5.98371681415929,15,0.142993838982974,0.0854670032455824
"CL","Tho",11,249,707,5.67871485943775,0.641015848768379,0.0228980437880554,4.19377341428756,10,0.0587533486028143,0.0779084078248478
"CL","Tho",12,348,1501,8.6264367816092,0.578220101990459,0.0248600483619862,7.38235462618161,19,0.413126829663199,0.0904137268541522
"CL","Tho",13,262,936,7.14503816793893,0.565764023210832,0.027375625164517,3.50213675213675,8,0.103429904630082,0.14120675031441
"CL","Tho",14,301,1150,7.64119601328904,0.621325696959488,0.0254706533776301,4.81281743993608,13,0.166852374367032,0.0945293466223699
"CL","Tho",15,301,1361,9.04318936877076,0.592278393351801,0.0301439645625692,4.91222330798318,12,0.286214173888168,0.179856035437431
"CL","Tho",16,286,1065,7.44755244755245,0.585420841683367,0.0261317629738682,5.68116219974109,14,0.30802955622315,0.124745430008588
"CL","Tho",17,291,1301,8.94158075601375,0.563883423512051,0.0308330370897026,5.04042328042328,12,0.308261692002696,0.107097997393056
"CL","Tho",18,296,1200,8.10810810810811,0.618267540354803,0.0274851122308749,4.87603305785124,13,0.168731263467024,0.0640403114979386
"CL","Tho",19,254,922,7.25984251968504,0.581416849647521,0.0286950297220753,5.37249747947573,13,0.306971555118965,0.081976907036818
"CL","Tho",20,298,1096,7.35570469798658,0.590810861599173,0.0247666824848033,3.65444796061885,10,0.0660204836152922,0.0930784353603146
"CL","Mat",1,216,629,5.82407407407407,0.531903485254692,0.0270887166236003,3.44858978936094,8,0.088510707985625,0.103143841515935
"CL","Mat",2,216,613,5.67592592592593,0.583699059561129,0.0263996554694229,3.6969887076537,14,0.0459225951891146,0.103832902670112
"CL","Mat",3,354,1490,8.4180790960452,0.518171353395823,0.0238472495638674,5.92864621226909,15,0.438243259178021,0.0809686144587955
"CL","Mat",4,267,1055,7.90262172284644,0.541184919210054,0.0297091042212272,4.65450963688638,13,0.216461015482152,0.113148038635916
"CL","Mat",5,243,780,6.41975308641975,0.483486943164363,0.0265279053157841,3.20089285714286,9,0.0945541279084866,0.14702581369248
"CL","Mat",6,250,808,6.464,0.482327586206897,0.0259598393574297,5.69531678551838,13,0.351337197726202,0.10255421686747
"CL","Mat",7,276,928,6.72463768115942,0.526551503518874,0.0244532279314888,6.59076381490574,16,0.278731057172035,0.131910408432148
"CL","Mat",8,281,808,5.7508896797153,0.501090682455594,0.0205388917132689,5.17355584082157,13,0.191391684531446,0.0937468225724453
"CL","Mat",9,304,1283,8.44078947368421,0.474685694869181,0.0278573910022581,5.04134107315621,13,0.239535847195926,0.209766371373979
"CL","Mat",10,316,966,6.11392405063291,0.504216444132115,0.0194092827004219,4.90009620740291,13,0.112295725564734,0.104400241109102
"CL","Mat",11,251,748,5.9601593625498,0.509207708779443,0.0238406374501992,4.36118072960178,13,0.135922430746699,0.156159362549801
"CL","Mat",12,232,581,5.00862068965517,0.493770963104935,0.0216823406478579,4.16872232764073,14,0.0548968229270489,0.0908717719062547
"CL","Mat",13,226,658,5.82300884955752,0.560099369386585,0.0258800393313668,3.79183559345729,11,0.102755781193136,0.129675516224189
"CL","Mat",14,293,945,6.45051194539249,0.546140651801029,0.0220907943335359,5.98981532350082,17,0.221186904764037,0.0635256440226285
"CL","Mat",15,197,458,4.6497461928934,0.506782945736434,0.023723194861701,2.70976353928299,8,0.0309214999448236,0.103827825546462
"CL","Mat",16,263,965,7.33840304182509,0.518714297894109,0.028009171915363,6.32278200487553,16,0.341863941981054,0.139929759382347
"CL","Mat",17,253,906,7.16205533596838,0.524475524475524,0.028420854507811,3.02173410404624,8,0.102910847512792,0.173960097873141
"CL","Mat",18,234,641,5.47863247863248,0.505193767479025,0.0235134441143025,7.27587058532971,18,0.27898800792968,0.0880745387183155
"CL","Mat",19,279,862,6.17921146953405,0.458745874587459,0.0222273793868131,6.44069144483509,17,0.32148154743965,0.139643124210309
"CL","Mat",20,208,481,4.625,0.573735199138859,0.0223429951690821,4.33128677411103,14,0.0486475386094663,0.0501207729468599
"CL","CSR",1,259,529,4.08494208494209,0.394688079061149,0.0158331088563647,6.3779290023853,17,0.134334707520243,0.088818053934333
"CL","CSR",2,258,605,4.68992248062016,0.459295261239368,0.0182487256055259,7.34680435843227,20,0.345140540674692,0.0790275389859138
"CL","CSR",3,229,500,4.36681222707424,0.477057793345009,0.0191526852064659,4.53813446718044,12,0.116115501028608,0.0597946832145867
"CL","CSR",4,253,614,4.85375494071146,0.438090737240076,0.0192609323044106,7.97772031889679,18,0.347352759533797,0.0640724010289228
"CL","CSR",5,247,529,4.2834008097166,0.349424642155487,0.0174121984134821,6.12809874849991,17,0.478410590528195,0.128929265001152
"CL","CSR",6,218,417,3.8256880733945,0.396411092985318,0.017629898955735,5.2087982832618,13,0.223621576124107,0.0791442945926521
"CL","CSR",7,256,536,4.1875,0.41059399877526,0.016421568627451,10.0400829070972,28,0.432850611439464,0.0698529411764706
"CL","CSR",8,243,590,4.8559670781893,0.481283422459893,0.0200659796619393,6.64976543923912,18,0.252536303865601,0.0873720368669864
"CL","CSR",9,202,390,3.86138613861386,0.514836795252225,0.0192108763115117,5.54804392587509,16,0.130961444214062,0.0753164868725679
"CL","CSR",10,265,676,5.10188679245283,0.418502202643172,0.019325328759291,7.44371647878729,18,0.416639436507712,0.124614065180103
"CL","CSR",11,296,702,4.74324324324324,0.365760175214455,0.0160787906550618,6.00948366701791,15,0.456304089758064,0.105955107650023
"CL","CSR",12,276,658,4.76811594202899,0.409149484536082,0.0173386034255599,7.73262528655582,20,0.445780358353475,0.113570487483531
"CL","CSR",13,249,514,4.1285140562249,0.446483180428135,0.016647234097681,6.50217056434673,17,0.27636383428085,0.0639979271926415
"CL","CSR",14,236,479,4.05932203389831,0.443575418994413,0.017273710782546,6.47260610312171,19,0.259255297847212,0.0635773530472413
"CL","CSR",15,246,575,4.67479674796748,0.461065573770492,0.0190808030529285,4.75872308834447,12,0.222326720539392,0.0911232785797246
"CL","CSR",16,225,470,4.17777777777778,0.372321428571429,0.0186507936507937,3.40469723598019,9,0.101912513320912,0.142063492063492
"CL","CSR",17,242,490,4.0495867768595,0.479754601226994,0.0168032646342718,10.6095161698894,29,0.373933099177585,0.0412880216727821
"CL","CSR",18,267,667,4.99625468164794,0.452238805970149,0.0187829123370223,7.33630690622775,19,0.195483013178162,0.0639238545802709
"CL","CSR",19,233,579,4.96995708154506,0.434619002822201,0.0214222287997632,6.12188497641397,13,0.411119968516555,0.103577771200237
"CL","CSR",20,226,426,3.76991150442478,0.416241299303944,0.0167551622418879,8.42177336528586,24,0.311775476808468,0.0588003933136676
"CL","Str",1,116,148,2.55172413793103,0.39572192513369,0.0221889055472264,4.05010893246187,10,0.125946119236339,0.134332833583208
"CL","Str",2,158,254,3.21518987341772,0.39945652173913,0.0204789163911957,7.32752324037185,19,0.248031507666787,0.081431911634282
"CL","Str",3,127,173,2.7244094488189,0.382003395585739,0.0216222972128484,2.90909090909091,7,0.0269925589989082,0.057742782152231
"CL","Str",4,132,173,2.62121212121212,0.436265709156194,0.0200092528336803,2.49799196787149,8,0.0153114620360119,0.0639602128151747
"CL","Str",5,174,252,2.89655172413793,0.360116166505324,0.0167430735499302,4.91289308176101,15,0.123012058771651,0.127765596970301
"CL","Str",6,144,213,2.95833333333333,0.433962264150943,0.0206876456876457,2.70123456790123,7,0.0117578275167165,0.0912004662004662
"CL","Str",7,156,242,3.1025641025641,0.298329355608592,0.0200165425971878,4.99090909090909,15,0.200822736056867,0.12191894127378
"CL","Str",8,162,272,3.35802469135802,0.370558375634518,0.0208572962196151,5.58269667561429,15,0.160032888391652,0.0785215857679626
"CL","Str",9,138,268,3.88405797101449,0.416234887737478,0.0283507881095948,4.03635243376463,11,0.129779313824736,0.124933883423252
"CL","Str",10,147,245,3.33333333333333,0.383333333333333,0.0228310502283105,7.50545702592087,22,0.364588102833552,0.121004566210046
"CL","Str",11,142,204,2.87323943661972,0.329923273657289,0.0203775846568774,3.95622895622896,14,0.0413977451551014,0.121466386974328
"CL","Str",12,144,251,3.48611111111111,0.418604651162791,0.0243783993783994,5.20959147424512,11,0.156487602435371,0.108488733488733
"CL","Str",13,112,156,2.78571428571429,0.367021276595745,0.0250965250965251,5.09769865392966,10,0.191043623476056,0.092020592020592
"CL","Str",14,140,228,3.25714285714286,0.445454545454545,0.0234326824254882,4.75827991452991,11,0.143593302178884,0.0772867420349435
"CL","Str",15,140,190,2.71428571428571,0.385934819897084,0.0195272353545735,3.76553491351698,9,0.048315179573576,0.0452209660842754
"CL","Str",16,149,203,2.7248322147651,0.342747111681643,0.0184110284781426,3.04132791327913,8,0.051869091927007,0.14375113368402
"CL","Str",17,155,237,3.05806451612903,0.269110764430577,0.0198575617930457,4.83105446118192,15,0.208779701044789,0.187934645999162
"CL","Str",18,142,224,3.15492957746479,0.403960396039604,0.0223753870742184,5.60373238038515,12,0.30225661734942,0.133652981720108
"CL","Str",19,148,226,3.05405405405405,0.469512195121951,0.0207758779187351,2.36246276067527,6,0.0146624598958957,0.0948703805846663
"CL","Str",20,120,187,3.11666666666667,0.406976744186047,0.0261904761904762,4.02625820568928,13,0.0561712222276747,0.125070028011204
"CL","HC",1,110,134,2.43636363636364,0.317934782608696,0.0223519599666389,3.4556720686368,9,0.0343710305028095,0.0602168473728107
"CL","HC",2,79,111,2.81012658227848,0.346437346437346,0.0360272638753651,3.29755579171095,8,0.145070741224587,0.130639402791302
"CL","HC",3,84,98,2.33333333333333,0.296296296296296,0.0281124497991968,2.92697768762678,9,0.033960113153171,0.0923694779116466
"CL","HC",4,105,140,2.66666666666667,0.415478615071283,0.0256410256410256,4.45373134328358,13,0.109882159476073,0.108974358974359
"CL","HC",5,84,109,2.5952380952381,0.329842931937173,0.0312679288582903,3.21504112808461,8,0.0983080131280337,0.125358577165806
"CL","HC",6,80,83,2.075,0.277456647398844,0.0262658227848101,2.21379310344828,6,0.0120296303600261,0.075
"CL","HC",7,71,77,2.16901408450704,0.354037267080745,0.0309859154929578,3.91666666666667,10,0.0723572907423839,0.054728370221328
"CL","HC",8,74,93,2.51351351351351,0.360902255639098,0.0344316919659385,4.16036505867014,13,0.125648964783887,0.116253239540911
"CL","HC",9,79,96,2.43037974683544,0.331168831168831,0.0311587147030185,2.5177304964539,7,0.0295246064476834,0.135507951963648
"CL","HC",10,105,120,2.28571428571429,0.342560553633218,0.021978021978022,3.88170731707317,11,0.0413752369736313,0.0549450549450549
"CL","HC",11,97,121,2.49484536082474,0.389189189189189,0.0259879725085911,3.26923076923077,10,0.0679174661915205,0.0990120274914089
"CL","HC",12,67,71,2.11940298507463,0.245283018867925,0.0321121664405246,4.21928460342146,11,0.126647594829413,0.104251469923112
"CL","HC",13,104,118,2.26923076923077,0.29903536977492,0.0220313666915609,3.3375,8,0.0347947266379452,0.0653472740851382
"CL","HC",14,78,81,2.07692307692308,0.256756756756757,0.026973026973027,2.88958333333333,7,0.048250792269931,0.128871128871129
"CL","HC",15,86,98,2.27906976744186,0.290322580645161,0.026812585499316,2.7909604519774,7,0.0430614598780689,0.0790697674418605
"CL","HC",16,78,82,2.1025641025641,0.36734693877551,0.0273060273060273,2.56521739130435,6,0.0315043807866774,0.0765900765900766
